route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
BRSH-5137,BRSH,"Brisbane City - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
BRSH-5147,BRSH,"Brisbane City - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
BRSH-5148,BRSH,"Brisbane City - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
BRSH-5149,BRSH,"Brisbane City - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
BRSH-5150,BRSH,"Brisbane City - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
BRSH-5151,BRSH,"Brisbane City - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
BRSH-5152,BRSH,"Brisbane City - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
BRSP-4998,BRSP,"Brisbane City - Springfield",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
BRSP-5075,BRSP,"Brisbane City - Springfield",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
BRSP-5076,BRSP,"Brisbane City - Springfield",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
BRSP-5093,BRSP,"Brisbane City - Springfield",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
BRSP-5094,BRSP,"Brisbane City - Springfield",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
BRSP-5110,BRSP,"Brisbane City - Springfield",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
BRSP-5111,BRSP,"Brisbane City - Springfield",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
BRSP-5115,BRSP,"Brisbane City - Springfield",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
BRSP-5117,BRSP,"Brisbane City - Springfield",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
BRSP-5119,BRSP,"Brisbane City - Springfield",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
BRSP-5136,BRSP,"Brisbane City - Springfield",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
BRSP-5137,BRSP,"Brisbane City - Springfield",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
BRSP-5147,BRSP,"Brisbane City - Springfield",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
BRSP-5148,BRSP,"Brisbane City - Springfield",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
BRSP-5149,BRSP,"Brisbane City - Springfield",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
BRSP-5150,BRSP,"Brisbane City - Springfield",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
BRSP-5151,BRSP,"Brisbane City - Springfield",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
BRSP-5152,BRSP,"Brisbane City - Springfield",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
BRVL-4997,BRVL,"Brisbane City - Varsity Lakes",,2,https://jp.translink.com.au/plan-your-journey/timetables,FFC425,000000
BRVL-4998,BRVL,"Brisbane City - Varsity Lakes",,2,https://jp.translink.com.au/plan-your-journey/timetables,FFC425,000000
BRVL-5075,BRVL,"Brisbane City - Varsity Lakes",,2,https://jp.translink.com.au/plan-your-journey/timetables,FFC425,000000
BRVL-5076,BRVL,"Brisbane City - Varsity Lakes",,2,https://jp.translink.com.au/plan-your-journey/timetables,FFC425,000000
BRVL-5093,BRVL,"Brisbane City - Varsity Lakes",,2,https://jp.translink.com.au/plan-your-journey/timetables,FFC425,000000
BRVL-5094,BRVL,"Brisbane City - Varsity Lakes",,2,https://jp.translink.com.au/plan-your-journey/timetables,FFC425,000000
BRVL-5118,BRVL,"Brisbane City - Varsity Lakes",,2,https://jp.translink.com.au/plan-your-journey/timetables,FFC425,000000
BRVL-5119,BRVL,"Brisbane City - Varsity Lakes",,2,https://jp.translink.com.au/plan-your-journey/timetables,FFC425,000000
BRVL-5147,BRVL,"Brisbane City - Varsity Lakes",,2,https://jp.translink.com.au/plan-your-journey/timetables,FFC425,000000
BRVL-5148,BRVL,"Brisbane City - Varsity Lakes",,2,https://jp.translink.com.au/plan-your-journey/timetables,FFC425,000000
BRVL-5149,BRVL,"Brisbane City - Varsity Lakes",,2,https://jp.translink.com.au/plan-your-journey/timetables,FFC425,000000
BRVL-5150,BRVL,"Brisbane City - Varsity Lakes",,2,https://jp.translink.com.au/plan-your-journey/timetables,FFC425,000000
BRVL-5151,BRVL,"Brisbane City - Varsity Lakes",,2,https://jp.translink.com.au/plan-your-journey/timetables,FFC425,000000
BRVL-5152,BRVL,"Brisbane City - Varsity Lakes",,2,https://jp.translink.com.au/plan-your-journey/timetables,FFC425,000000
CABR-5075,CABR,"Caboolture - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CABR-5076,CABR,"Caboolture - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CABR-5093,CABR,"Caboolture - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CABR-5111,CABR,"Caboolture - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CABR-5115,CABR,"Caboolture - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CABR-5117,CABR,"Caboolture - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CABR-5135,CABR,"Caboolture - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CABR-5136,CABR,"Caboolture - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CABR-5137,CABR,"Caboolture - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CABR-5147,CABR,"Caboolture - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CABR-5148,CABR,"Caboolture - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CABR-5149,CABR,"Caboolture - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CABR-5150,CABR,"Caboolture - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CABR-5151,CABR,"Caboolture - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CABR-5152,CABR,"Caboolture - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CACL-5119,CACL,"Caboolture - Cleveland",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CADB-5075,CADB,"Caboolture - Doomben",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CADB-5076,CADB,"Caboolture - Doomben",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CADB-5135,CADB,"Caboolture - Doomben",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CADB-5136,CADB,"Caboolture - Doomben",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CADB-5147,CADB,"Caboolture - Doomben",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CADB-5148,CADB,"Caboolture - Doomben",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CADB-5149,CADB,"Caboolture - Doomben",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CADB-5150,CADB,"Caboolture - Doomben",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CADB-5151,CADB,"Caboolture - Doomben",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CADB-5152,CADB,"Caboolture - Doomben",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CAIP-4997,CAIP,"Caboolture - Ipswich",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CAIP-4998,CAIP,"Caboolture - Ipswich",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CAIP-5075,CAIP,"Caboolture - Ipswich",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CAIP-5076,CAIP,"Caboolture - Ipswich",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CAIP-5093,CAIP,"Caboolture - Ipswich",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CAIP-5094,CAIP,"Caboolture - Ipswich",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CAIP-5106,CAIP,"Caboolture - Ipswich",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CAIP-5110,CAIP,"Caboolture - Ipswich",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CAIP-5111,CAIP,"Caboolture - Ipswich",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CAIP-5115,CAIP,"Caboolture - Ipswich",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CAIP-5117,CAIP,"Caboolture - Ipswich",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CAIP-5118,CAIP,"Caboolture - Ipswich",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CAIP-5119,CAIP,"Caboolture - Ipswich",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CAIP-5135,CAIP,"Caboolture - Ipswich",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
