route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
641-4986,CBL 26_27-43425,38018081-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6410034
641-4986,CBL 26_27-43425,38018082-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6410034
640-4986,CBL 26_27-43425,38018084-CBL 26_27-43425,"Caboolture",1,,6400089
640-4986,CBL 26_27-43425,38018085-CBL 26_27-43425,"Woorim",0,,6400088
640-4986,CBL 26_27-43425,38018086-CBL 26_27-43425,"Caboolture",1,,6400089
640-4986,CBL 26_27-43425,38018087-CBL 26_27-43425,"Woorim",0,,6400088
640-4986,CBL 26_27-43425,38018088-CBL 26_27-43425,"Caboolture",1,,6400089
643-4986,CBL 26_27-43425,38018091-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6430021
640-4986,CBL 26_27-43425,38018094-CBL 26_27-43425,"Caboolture",1,,6400089
653-4986,CBL 26_27-43425,38018097-CBL 26_27-43425,"Morayfield",1,,6530076
651-4986,CBL 26_27-43425,38018099-CBL 26_27-43425,"Morayfield",0,,6510265
656-4986,CBL 26_27-43425,38018100-CBL 26_27-43425,"Morayfield",1,,6560084
642-4986,CBL 26_27-43425,38018103-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6420048
642-4986,CBL 26_27-43425,38018105-CBL 26_27-43425,"Bribie Island RSL",1,,6420051
642-4986,CBL 26_27-43425,38018106-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6420048
642-4986,CBL 26_27-43425,38018108-CBL 26_27-43425,"Bribie Island RSL",1,,6420051
642-4986,CBL 26_27-43425,38018109-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6420048
642-4986,CBL 26_27-43425,38018111-CBL 26_27-43425,"Bribie Island RSL",1,,6420051
642-4986,CBL 26_27-43425,38018112-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6420048
644-4986,CBL 26_27-43425,38018114-CBL 26_27-43425,"Sandstone Point",1,,6440015
644-4986,CBL 26_27-43425,38018116-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6440016
641-4986,CBL 26_27-43425,38018119-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6410034
640-4986,CBL 26_27-43425,38018122-CBL 26_27-43425,"Caboolture",1,,6400089
640-4986,CBL 26_27-43425,38018125-CBL 26_27-43425,"Woorim",0,,6400088
640-4986,CBL 26_27-43425,38018126-CBL 26_27-43425,"Caboolture",1,,6400089
641-4986,CBL 26_27-43425,38018131-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6410034
642-4986,CBL 26_27-43425,38018133-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6420048
642-4986,CBL 26_27-43425,38018135-CBL 26_27-43425,"Bribie Island RSL",1,,6420051
642-4986,CBL 26_27-43425,38018136-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6420048
642-4986,CBL 26_27-43425,38018138-CBL 26_27-43425,"Bribie Island RSL",1,,6420051
642-4986,CBL 26_27-43425,38018139-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6420048
642-4986,CBL 26_27-43425,38018141-CBL 26_27-43425,"Bribie Island RSL",1,,6420051
642-4986,CBL 26_27-43425,38018142-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6420048
642-4986,CBL 26_27-43425,38018144-CBL 26_27-43425,"Bribie Island RSL",1,,6420051
642-4986,CBL 26_27-43425,38018145-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6420048
642-4986,CBL 26_27-43425,38018147-CBL 26_27-43425,"Bribie Island RSL",1,,6420051
642-4986,CBL 26_27-43425,38018148-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6420048
642-4986,CBL 26_27-43425,38018150-CBL 26_27-43425,"Bribie Island RSL",1,,6420051
644-4986,CBL 26_27-43425,38018153-CBL 26_27-43425,"Sandstone Point",1,,6440015
644-4986,CBL 26_27-43425,38018155-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6440016
641-4986,CBL 26_27-43425,38018156-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6410034
